Reason_type1,Reason_type2,Reason_type3,Reason_type4,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,Month Value,day of the Week,
FALSE,FALSE,FALSE,TRUE,07-07-2015,289,36,33,239.554,30,0,2,1,4,7,1,
FALSE,FALSE,FALSE,FALSE,14-07-2015,118,13,50,239.554,31,0,1,0,0,7,1,
FALSE,FALSE,FALSE,TRUE,15-07-2015,179,51,38,239.554,31,0,0,0,2,7,2,
TRUE,FALSE,FALSE,FALSE,16-07-2015,279,5,39,239.554,24,0,2,0,4,7,3,
FALSE,FALSE,FALSE,TRUE,23-07-2015,289,36,33,239.554,30,0,2,1,2,7,3,
FALSE,FALSE,FALSE,TRUE,10-07-2015,179,51,38,239.554,31,0,0,0,2,7,4,
FALSE,FALSE,FALSE,TRUE,17-07-2015,361,52,28,239.554,27,0,1,4,8,7,4,
FALSE,FALSE,FALSE,TRUE,24-07-2015,260,50,36,239.554,23,0,4,0,4,7,4,
FALSE,FALSE,TRUE,FALSE,06-07-2015,155,12,34,239.554,25,0,2,0,40,7,0,
FALSE,FALSE,FALSE,TRUE,13-07-2015,235,11,37,239.554,29,1,1,1,8,7,0,
TRUE,FALSE,FALSE,FALSE,20-07-2015,260,50,36,239.554,23,0,4,0,8,7,0,
TRUE,FALSE,FALSE,FALSE,14-07-2015,260,50,36,239.554,23,0,4,0,8,7,1,
TRUE,FALSE,FALSE,FALSE,15-07-2015,260,50,36,239.554,23,0,4,0,8,7,2,
TRUE,FALSE,FALSE,FALSE,15-07-2015,179,51,38,239.554,31,0,0,0,1,7,2,
FALSE,FALSE,FALSE,TRUE,15-07-2015,179,51,38,239.554,31,0,0,0,4,7,2,
TRUE,FALSE,FALSE,FALSE,17-07-2015,246,25,41,239.554,23,0,0,0,8,7,4,
FALSE,FALSE,FALSE,TRUE,17-07-2015,179,51,38,239.554,31,0,0,0,2,7,4,
FALSE,FALSE,TRUE,FALSE,27-07-2015,179,51,38,239.554,31,0,0,0,8,7,0,
TRUE,FALSE,FALSE,FALSE,30-07-2015,189,29,33,239.554,25,0,2,2,8,7,3,
FALSE,FALSE,FALSE,TRUE,05-08-2015,248,25,47,205.917,32,0,2,1,2,8,2,
TRUE,FALSE,FALSE,FALSE,12-08-2015,330,16,28,205.917,25,1,0,0,8,8,2,
TRUE,FALSE,FALSE,FALSE,03-08-2015,179,51,38,205.917,31,0,0,0,1,8,0,
TRUE,FALSE,FALSE,FALSE,10-08-2015,361,52,28,205.917,27,0,1,4,40,8,0,
FALSE,FALSE,FALSE,TRUE,14-08-2015,260,50,36,205.917,23,0,4,0,4,8,4,
FALSE,FALSE,TRUE,FALSE,17-08-2015,289,36,33,205.917,30,0,2,1,8,8,0,
FALSE,FALSE,FALSE,TRUE,24-08-2015,361,52,28,205.917,27,0,1,4,7,8,0,
FALSE,FALSE,FALSE,TRUE,04-08-2015,289,36,33,205.917,30,0,2,1,1,8,1,
FALSE,FALSE,FALSE,TRUE,12-08-2015,157,27,29,205.917,22,0,0,0,4,8,2,
FALSE,FALSE,TRUE,FALSE,19-08-2015,289,36,33,205.917,30,0,2,1,8,8,2,
FALSE,FALSE,FALSE,TRUE,28-08-2015,179,51,38,205.917,31,0,0,0,2,8,4,
FALSE,FALSE,TRUE,FALSE,17-08-2015,179,51,38,205.917,31,0,0,0,8,8,0,
FALSE,FALSE,TRUE,FALSE,27-08-2015,235,29,48,205.917,33,0,1,5,8,8,3,
FALSE,FALSE,FALSE,TRUE,27-08-2015,235,11,37,205.917,29,1,1,1,4,8,3,
FALSE,FALSE,TRUE,FALSE,17-08-2015,235,29,48,205.917,33,0,1,5,8,8,0,
FALSE,FALSE,FALSE,TRUE,17-08-2015,179,51,38,205.917,31,0,0,0,2,8,0,
FALSE,FALSE,FALSE,TRUE,17-08-2015,361,52,28,205.917,27,0,1,4,1,8,0,
FALSE,FALSE,FALSE,TRUE,04-08-2015,289,36,33,205.917,30,0,2,1,8,8,1,
TRUE,FALSE,FALSE,FALSE,20-08-2015,291,50,32,205.917,23,0,0,0,4,8,3,
FALSE,FALSE,FALSE,TRUE,21-08-2015,235,29,48,205.917,33,0,1,5,8,8,4,
FALSE,FALSE,FALSE,TRUE,28-08-2015,260,50,36,205.917,23,0,4,0,4,8,4,
FALSE,FALSE,FALSE,TRUE,01-09-2015,184,42,27,241.476,21,0,0,0,2,9,1,
FALSE,FALSE,FALSE,TRUE,07-09-2015,118,10,37,241.476,28,0,0,0,4,9,0,
FALSE,FALSE,FALSE,TRUE,01-09-2015,179,51,38,241.476,31,0,0,0,4,9,1,
FALSE,FALSE,TRUE,FALSE,08-09-2015,235,20,43,241.476,38,0,1,0,8,9,1,
FALSE,FALSE,FALSE,TRUE,09-09-2015,155,12,34,241.476,25,0,2,0,2,9,2,
FALSE,FALSE,FALSE,TRUE,13-09-2015,118,10,37,241.476,28,0,0,0,3,9,6,
FALSE,FALSE,FALSE,TRUE,14-09-2015,179,51,38,241.476,31,0,0,0,3,9,0,
FALSE,FALSE,FALSE,TRUE,24-09-2015,291,31,40,241.476,25,0,1,1,4,9,3,
FALSE,FALSE,FALSE,TRUE,04-09-2015,260,50,36,241.476,23,0,4,0,8,9,4,
TRUE,FALSE,FALSE,FALSE,14-09-2015,291,31,40,241.476,25,0,1,1,32,9,0,
FALSE,FALSE,FALSE,FALSE,21-09-2015,260,50,36,241.476,23,0,4,0,0,9,0,
FALSE,FALSE,FALSE,FALSE,28-09-2015,225,26,28,241.476,24,0,1,2,0,9,0,
FALSE,FALSE,FALSE,TRUE,08-09-2015,225,26,28,241.476,24,0,1,2,2,9,1,
FALSE,FALSE,FALSE,TRUE,15-09-2015,118,10,37,241.476,28,0,0,0,2,9,1,
FALSE,FALSE,FALSE,FALSE,22-09-2015,289,36,33,241.476,30,0,2,1,0,9,1,
FALSE,FALSE,FALSE,FALSE,29-09-2015,118,13,50,241.476,31,0,1,0,0,9,1,
FALSE,FALSE,TRUE,FALSE,16-09-2015,225,26,28,241.476,24,0,1,2,3,9,2,
FALSE,FALSE,FALSE,TRUE,23-09-2015,179,51,38,241.476,31,0,0,0,3,9,2,
FALSE,FALSE,FALSE,FALSE,30-09-2015,369,17,31,241.476,25,0,3,0,0,9,2,
FALSE,FALSE,FALSE,TRUE,11-09-2015,248,25,47,241.476,32,0,2,1,1,9,4,
FALSE,FALSE,FALSE,TRUE,18-09-2015,179,51,38,241.476,31,0,0,0,3,9,4,
FALSE,FALSE,FALSE,TRUE,25-09-2015,260,50,36,241.476,23,0,4,0,4,9,4,
FALSE,FALSE,FALSE,TRUE,06-10-2015,179,51,38,253.465,31,0,0,0,3,10,1,
FALSE,FALSE,FALSE,TRUE,13-10-2015,118,10,37,253.465,28,0,0,0,3,10,1,
FALSE,FALSE,FALSE,FALSE,14-10-2015,118,13,50,253.465,31,0,1,0,0,10,2,
FALSE,FALSE,FALSE,TRUE,15-10-2015,179,26,30,253.465,19,1,0,0,1,10,3,
FALSE,FALSE,FALSE,TRUE,16-10-2015,179,51,38,253.465,31,0,0,0,3,10,4,
FALSE,FALSE,FALSE,TRUE,16-10-2015,225,26,28,253.465,24,0,1,2,3,10,4,
FALSE,FALSE,FALSE,TRUE,06-10-2015,118,10,37,253.465,28,0,0,0,3,10,1,
FALSE,FALSE,FALSE,TRUE,14-10-2015,225,26,28,253.465,24,0,1,2,2,10,2,
FALSE,FALSE,FALSE,TRUE,21-10-2015,248,25,47,253.465,32,0,2,1,2,10,2,
FALSE,FALSE,FALSE,TRUE,22-10-2015,291,31,40,253.465,25,0,1,1,5,10,3,
FALSE,FALSE,FALSE,TRUE,21-10-2015,179,51,38,253.465,31,0,0,0,8,10,2,
FALSE,FALSE,FALSE,TRUE,21-10-2015,225,26,28,253.465,24,0,1,2,3,10,2,
FALSE,FALSE,TRUE,FALSE,22-10-2015,260,50,36,253.465,23,0,4,0,16,10,3,
TRUE,FALSE,FALSE,FALSE,13-10-2015,291,31,40,253.465,25,0,1,1,8,10,1,
FALSE,FALSE,FALSE,TRUE,20-10-2015,225,26,28,253.465,24,0,1,2,2,10,1,
FALSE,FALSE,FALSE,TRUE,21-10-2015,289,36,33,253.465,30,0,2,1,8,10,2,
FALSE,FALSE,FALSE,TRUE,23-10-2015,361,52,28,253.465,27,0,1,4,1,10,4,
FALSE,FALSE,FALSE,TRUE,30-10-2015,260,50,36,253.465,23,0,4,0,3,10,4,
FALSE,FALSE,FALSE,TRUE,05-11-2015,179,51,38,306.345,31,0,0,0,1,11,3,
FALSE,FALSE,FALSE,TRUE,04-11-2015,225,26,28,306.345,24,0,1,2,1,11,2,
TRUE,FALSE,FALSE,FALSE,05-11-2015,179,51,38,306.345,31,0,0,0,8,11,3,
FALSE,FALSE,TRUE,FALSE,12-11-2015,179,22,40,306.345,22,1,2,0,8,11,3,
FALSE,FALSE,FALSE,TRUE,19-11-2015,291,31,40,306.345,25,0,1,1,5,11,3,
TRUE,FALSE,FALSE,FALSE,02-11-2015,155,12,34,306.345,25,0,2,0,32,11,0,
FALSE,FALSE,FALSE,TRUE,09-11-2015,189,29,33,306.345,25,0,2,2,8,11,0,
TRUE,FALSE,FALSE,FALSE,16-11-2015,291,31,40,306.345,25,0,1,1,40,11,0,
FALSE,FALSE,FALSE,TRUE,18-11-2015,225,26,28,306.345,24,0,1,2,1,11,2,
TRUE,FALSE,FALSE,FALSE,20-11-2015,155,12,34,306.345,25,0,2,0,8,11,4,
FALSE,FALSE,FALSE,TRUE,18-11-2015,225,26,28,306.345,24,0,1,2,3,11,2,
FALSE,FALSE,TRUE,FALSE,25-11-2015,179,22,40,306.345,22,1,2,0,8,11,2,
TRUE,FALSE,FALSE,FALSE,20-11-2015,225,26,28,306.345,24,0,1,2,3,11,4,
FALSE,FALSE,FALSE,TRUE,27-11-2015,260,50,36,306.345,23,0,4,0,4,11,4,
FALSE,FALSE,FALSE,TRUE,02-11-2015,248,25,47,306.345,32,0,2,1,1,11,0,
FALSE,FALSE,FALSE,TRUE,10-11-2015,225,26,28,306.345,24,0,1,2,3,11,1,
TRUE,FALSE,FALSE,FALSE,11-11-2015,289,36,33,306.345,30,0,2,1,24,11,2,
FALSE,FALSE,FALSE,TRUE,26-11-2015,291,31,40,306.345,25,0,1,1,3,11,3,
FALSE,FALSE,FALSE,TRUE,01-12-2015,248,25,47,261.306,32,0,2,1,1,12,1,
FALSE,FALSE,TRUE,FALSE,01-12-2015,118,10,37,261.306,28,0,0,0,64,12,1,
FALSE,FALSE,FALSE,TRUE,02-12-2015,118,13,50,261.306,31,0,1,0,2,12,2,
FALSE,FALSE,FALSE,TRUE,02-12-2015,235,11,37,261.306,29,1,1,1,8,12,2,
FALSE,FALSE,FALSE,TRUE,03-12-2015,225,26,28,261.306,24,0,1,2,2,12,3,
FALSE,FALSE,FALSE,TRUE,04-12-2015,260,50,36,261.306,23,0,4,0,8,12,4,
FALSE,FALSE,TRUE,FALSE,08-12-2015,118,10,37,261.306,28,0,0,0,56,12,1,
FALSE,FALSE,FALSE,TRUE,09-12-2015,361,52,28,261.306,27,0,1,4,8,12,2,
FALSE,FALSE,FALSE,TRUE,10-12-2015,225,26,28,261.306,24,0,1,2,3,12,3,
FALSE,FALSE,FALSE,TRUE,11-12-2015,260,50,36,261.306,23,0,4,0,3,12,4,
FALSE,FALSE,FALSE,TRUE,15-12-2015,225,26,28,261.306,24,0,1,2,2,12,1,
FALSE,FALSE,FALSE,TRUE,16-12-2015,361,52,28,261.306,27,0,1,4,8,12,2,
FALSE,FALSE,FALSE,TRUE,11-12-2015,118,10,37,261.306,28,0,0,0,2,12,4,
FALSE,FALSE,TRUE,FALSE,18-12-2015,246,25,41,261.306,23,0,0,0,8,12,4,
FALSE,FALSE,FALSE,TRUE,18-12-2015,225,26,28,261.306,24,0,1,2,2,12,4,
FALSE,FALSE,FALSE,TRUE,06-01-2016,225,26,28,308.593,24,0,1,2,1,1,2,
FALSE,FALSE,TRUE,FALSE,04-01-2016,118,10,37,308.593,28,0,0,0,1,1,0,
FALSE,FALSE,FALSE,TRUE,05-01-2016,118,10,37,308.593,28,0,0,0,1,1,1,
FALSE,FALSE,TRUE,FALSE,05-01-2016,155,12,34,308.593,25,0,2,0,8,1,1,
FALSE,FALSE,FALSE,TRUE,06-01-2016,225,26,28,308.593,24,0,1,2,2,1,2,
FALSE,FALSE,FALSE,TRUE,07-01-2016,184,42,27,308.593,21,0,0,0,2,1,3,
FALSE,FALSE,FALSE,TRUE,07-01-2016,225,26,28,308.593,24,0,1,2,2,1,3,
FALSE,FALSE,FALSE,TRUE,08-01-2016,225,26,28,308.593,24,0,1,2,1,1,4,
FALSE,FALSE,FALSE,TRUE,11-01-2016,118,10,37,308.593,28,0,0,0,2,1,0,
FALSE,FALSE,FALSE,TRUE,12-01-2016,225,26,28,308.593,24,0,1,2,2,1,1,
FALSE,FALSE,FALSE,TRUE,12-01-2016,118,10,37,308.593,28,0,0,0,2,1,1,
FALSE,FALSE,FALSE,TRUE,13-01-2016,118,10,37,308.593,28,0,0,0,2,1,2,
FALSE,FALSE,FALSE,TRUE,14-01-2016,118,10,37,308.593,28,0,0,0,2,1,3,
FALSE,FALSE,FALSE,TRUE,15-01-2016,118,10,37,308.593,28,0,0,0,2,1,4,
FALSE,FALSE,FALSE,TRUE,11-01-2016,118,10,37,308.593,28,0,0,0,2,1,0,
FALSE,FALSE,FALSE,TRUE,12-01-2016,118,10,37,308.593,28,0,0,0,2,1,1,
FALSE,FALSE,TRUE,FALSE,12-01-2016,179,26,30,308.593,19,1,0,0,8,1,1,
FALSE,FALSE,TRUE,FALSE,12-01-2016,289,36,33,308.593,30,0,2,1,8,1,1,
FALSE,FALSE,FALSE,TRUE,13-01-2016,118,10,37,308.593,28,0,0,0,2,1,2,
FALSE,FALSE,FALSE,TRUE,21-01-2016,184,42,27,308.593,21,0,0,0,2,1,3,
FALSE,FALSE,FALSE,TRUE,28-01-2016,118,10,37,308.593,28,0,0,0,2,1,3,
FALSE,FALSE,FALSE,TRUE,25-01-2016,118,10,37,308.593,28,0,0,0,0,1,0,
FALSE,FALSE,FALSE,TRUE,26-01-2016,225,26,28,308.593,24,0,1,2,1,1,1,
FALSE,FALSE,FALSE,TRUE,28-01-2016,289,36,33,308.593,30,0,2,1,3,1,3,
FALSE,FALSE,FALSE,TRUE,05-02-2016,184,42,27,302.585,21,0,0,0,1,2,4,
TRUE,FALSE,FALSE,FALSE,03-02-2016,246,25,41,302.585,23,0,0,0,8,2,2,
TRUE,FALSE,FALSE,FALSE,10-02-2016,179,51,38,302.585,31,0,0,0,8,2,2,
FALSE,FALSE,FALSE,TRUE,11-02-2016,155,12,34,302.585,25,0,2,0,2,2,3,
FALSE,FALSE,FALSE,TRUE,11-02-2016,189,29,33,302.585,25,0,2,2,8,2,3,
FALSE,FALSE,FALSE,TRUE,12-02-2016,260,50,36,302.585,23,0,4,0,2,2,4,
FALSE,FALSE,FALSE,TRUE,12-02-2016,289,36,33,302.585,30,0,2,1,8,2,4,
TRUE,FALSE,FALSE,FALSE,08-02-2016,388,15,50,302.585,24,0,0,0,8,2,0,
TRUE,FALSE,FALSE,FALSE,09-02-2016,388,15,50,302.585,24,0,0,0,8,2,1,
FALSE,FALSE,FALSE,TRUE,15-02-2016,225,26,28,302.585,24,0,1,2,2,2,0,
FALSE,FALSE,FALSE,TRUE,09-02-2016,225,26,28,302.585,24,0,1,2,2,2,1,
FALSE,FALSE,FALSE,TRUE,16-02-2016,179,26,30,302.585,19,1,0,0,1,2,1,
FALSE,FALSE,FALSE,TRUE,23-02-2016,184,42,27,302.585,21,0,0,0,8,2,1,
FALSE,FALSE,FALSE,TRUE,25-02-2016,225,26,28,302.585,24,0,1,2,3,2,3,
FALSE,FALSE,TRUE,FALSE,15-02-2016,330,16,28,302.585,25,1,0,0,8,2,0,
FALSE,FALSE,FALSE,TRUE,16-02-2016,330,16,28,302.585,25,1,0,0,1,2,1,
FALSE,FALSE,FALSE,TRUE,17-02-2016,225,26,28,302.585,24,0,1,2,1,2,2,
FALSE,FALSE,TRUE,FALSE,25-02-2016,189,29,33,302.585,25,0,2,2,8,2,3,
FALSE,FALSE,FALSE,TRUE,01-03-2016,291,50,32,343.253,23,0,0,0,2,3,1,
FALSE,FALSE,TRUE,FALSE,01-03-2016,260,50,36,343.253,23,0,4,0,8,3,1,
FALSE,FALSE,TRUE,FALSE,08-03-2016,157,27,29,343.253,22,0,0,0,3,3,1,
FALSE,TRUE,FALSE,FALSE,15-03-2016,179,22,40,343.253,22,1,2,0,8,3,1,
FALSE,FALSE,FALSE,TRUE,16-03-2016,291,31,40,343.253,25,0,1,1,8,3,2,
TRUE,FALSE,FALSE,FALSE,02-03-2016,260,50,36,343.253,23,0,4,0,8,3,2,
TRUE,FALSE,FALSE,FALSE,03-03-2016,179,26,30,343.253,19,1,0,0,8,3,3,
TRUE,FALSE,FALSE,FALSE,04-03-2016,248,25,47,343.253,32,0,2,1,3,3,4,
TRUE,FALSE,FALSE,FALSE,04-03-2016,260,50,36,343.253,23,0,4,0,40,3,4,
TRUE,FALSE,FALSE,FALSE,07-03-2016,179,22,40,343.253,22,1,2,0,40,3,0,
TRUE,FALSE,FALSE,FALSE,14-03-2016,155,12,34,343.253,25,0,2,0,16,3,0,
FALSE,FALSE,FALSE,TRUE,21-03-2016,260,50,36,343.253,23,0,4,0,16,3,0,
TRUE,FALSE,FALSE,FALSE,22-03-2016,155,12,34,343.253,25,0,2,0,8,3,1,
TRUE,FALSE,FALSE,FALSE,24-03-2016,289,36,33,343.253,30,0,2,1,8,3,3,
TRUE,FALSE,FALSE,FALSE,24-03-2016,179,22,40,343.253,22,1,2,0,8,3,3,
FALSE,FALSE,FALSE,TRUE,25-03-2016,260,50,36,343.253,23,0,4,0,4,3,4,
FALSE,FALSE,FALSE,TRUE,25-03-2016,225,26,28,343.253,24,0,1,2,1,3,4,
TRUE,FALSE,FALSE,FALSE,28-03-2016,279,5,39,343.253,24,0,2,0,8,3,0,
TRUE,FALSE,FALSE,FALSE,29-03-2016,179,51,38,343.253,31,0,0,0,24,3,1,
FALSE,FALSE,FALSE,TRUE,30-03-2016,225,26,28,343.253,24,0,1,2,2,3,2,
TRUE,FALSE,FALSE,FALSE,28-03-2016,225,26,28,343.253,24,0,1,2,8,3,0,
TRUE,FALSE,FALSE,FALSE,28-03-2016,179,26,30,343.253,19,1,0,0,1,3,0,
TRUE,FALSE,FALSE,FALSE,29-03-2016,225,26,28,343.253,24,0,1,2,8,3,1,
TRUE,FALSE,FALSE,FALSE,30-03-2016,225,26,28,343.253,24,0,1,2,16,3,2,
TRUE,FALSE,FALSE,FALSE,30-03-2016,179,51,38,343.253,31,0,0,0,3,3,2,
TRUE,FALSE,FALSE,FALSE,17-03-2016,279,5,39,343.253,24,0,2,0,16,3,3,
FALSE,FALSE,FALSE,TRUE,18-03-2016,225,26,28,343.253,24,0,1,2,2,3,4,
TRUE,FALSE,FALSE,FALSE,25-03-2016,248,25,47,343.253,32,0,2,1,3,3,4,
FALSE,FALSE,FALSE,TRUE,28-03-2016,225,26,28,343.253,24,0,1,2,1,3,0,
FALSE,FALSE,FALSE,TRUE,06-04-2016,291,31,40,326.452,25,0,1,1,1,4,2,
FALSE,FALSE,FALSE,TRUE,13-04-2016,225,26,28,326.452,24,0,1,2,1,4,2,
FALSE,FALSE,FALSE,TRUE,12-04-2016,155,12,34,326.452,25,0,2,0,1,4,1,
TRUE,FALSE,FALSE,FALSE,13-04-2016,246,25,41,326.452,23,0,0,0,24,4,2,
FALSE,FALSE,FALSE,TRUE,14-04-2016,155,12,34,326.452,25,0,2,0,1,4,3,
FALSE,FALSE,FALSE,TRUE,15-04-2016,225,26,28,326.452,24,0,1,2,2,4,4,
FALSE,FALSE,FALSE,TRUE,15-04-2016,260,50,36,326.452,23,0,4,0,4,4,4,
TRUE,FALSE,FALSE,FALSE,06-04-2016,179,51,38,326.452,31,0,0,0,24,4,2,
FALSE,FALSE,FALSE,TRUE,07-04-2016,118,13,50,326.452,31,0,1,0,1,4,3,
FALSE,FALSE,FALSE,TRUE,08-04-2016,291,31,40,326.452,25,0,1,1,3,4,4,
TRUE,FALSE,FALSE,FALSE,08-04-2016,246,25,41,326.452,23,0,0,0,8,4,4,
FALSE,FALSE,FALSE,TRUE,22-04-2016,291,31,40,326.452,25,0,1,1,1,4,4,
FALSE,FALSE,FALSE,TRUE,29-04-2016,248,25,47,326.452,32,0,2,1,8,4,4,
FALSE,FALSE,TRUE,FALSE,29-04-2016,260,50,36,326.452,23,0,4,0,56,4,4,
FALSE,FALSE,TRUE,FALSE,26-04-2016,289,36,33,326.452,30,0,2,1,8,4,1,
TRUE,FALSE,FALSE,FALSE,27-04-2016,155,12,34,326.452,25,0,2,0,24,4,2,
FALSE,FALSE,TRUE,FALSE,27-04-2016,378,49,36,326.452,21,0,2,4,8,4,2,
TRUE,FALSE,FALSE,FALSE,28-04-2016,289,36,33,326.452,30,0,2,1,16,4,3,
TRUE,FALSE,FALSE,FALSE,08-04-2016,235,11,37,326.452,29,1,1,1,3,4,4,
FALSE,FALSE,FALSE,FALSE,04-04-2016,235,29,48,326.452,33,0,1,5,0,4,0,
TRUE,FALSE,FALSE,FALSE,04-05-2016,289,36,33,378.884,30,0,2,1,8,5,2,
FALSE,FALSE,FALSE,TRUE,05-05-2016,155,12,34,378.884,25,0,2,0,2,5,3,
FALSE,FALSE,FALSE,TRUE,02-05-2016,155,12,34,378.884,25,0,2,0,1,5,0,
FALSE,FALSE,TRUE,FALSE,03-05-2016,179,51,38,378.884,31,0,0,0,8,5,1,
FALSE,FALSE,TRUE,FALSE,03-05-2016,225,26,28,378.884,24,0,1,2,8,5,1,
TRUE,FALSE,FALSE,FALSE,11-05-2016,184,42,27,378.884,21,0,0,0,4,5,2,
FALSE,FALSE,FALSE,TRUE,09-05-2016,155,12,34,378.884,25,0,2,0,2,5,0,
TRUE,FALSE,FALSE,FALSE,10-05-2016,179,51,38,378.884,31,0,0,0,1,5,1,
TRUE,FALSE,FALSE,FALSE,04-05-2016,289,36,33,378.884,30,0,2,1,24,5,2,
FALSE,FALSE,FALSE,FALSE,11-05-2016,279,5,39,378.884,24,0,2,0,0,5,2,
FALSE,FALSE,FALSE,FALSE,18-05-2016,330,16,28,378.884,25,1,0,0,0,5,2,
FALSE,FALSE,FALSE,FALSE,25-05-2016,378,49,36,378.884,21,0,2,4,0,5,2,
FALSE,FALSE,FALSE,FALSE,25-05-2016,388,15,50,378.884,24,0,0,0,0,5,2,
TRUE,FALSE,FALSE,FALSE,24-05-2016,179,51,38,378.884,31,0,0,0,1,5,1,
TRUE,FALSE,FALSE,FALSE,11-05-2016,118,13,50,378.884,31,0,1,0,24,5,2,
FALSE,FALSE,FALSE,TRUE,27-05-2016,361,52,28,378.884,27,0,1,4,8,5,4,
FALSE,FALSE,TRUE,FALSE,06-06-2016,246,25,41,377.55,23,0,0,0,8,6,0,
FALSE,FALSE,FALSE,TRUE,13-06-2016,361,52,28,377.55,27,0,1,4,8,6,0,
TRUE,FALSE,FALSE,FALSE,14-06-2016,246,25,41,377.55,23,0,0,0,24,6,1,
FALSE,FALSE,FALSE,TRUE,16-06-2016,291,31,40,377.55,25,0,1,1,4,6,3,
TRUE,FALSE,FALSE,FALSE,17-06-2016,246,25,41,377.55,23,0,0,0,8,6,4,
TRUE,FALSE,FALSE,FALSE,13-06-2016,179,51,38,377.55,31,0,0,0,8,6,0,
FALSE,FALSE,FALSE,TRUE,20-06-2016,155,12,34,377.55,25,0,2,0,4,6,0,
TRUE,FALSE,FALSE,FALSE,27-06-2016,246,25,41,377.55,23,0,0,0,8,6,0,
TRUE,FALSE,FALSE,FALSE,29-06-2016,118,13,50,377.55,31,0,1,0,8,6,2,
TRUE,FALSE,FALSE,FALSE,03-06-2016,235,11,37,377.55,29,1,1,1,16,6,4,
FALSE,FALSE,FALSE,TRUE,07-06-2016,118,13,50,377.55,31,0,1,0,1,6,1,
